127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A07.641&campaign=&country_code=ES&city=None&ip_address=95.23.180.153&language=espa%3Fol&device_name=&device_type=Lenovo%3A%3ATab2A7-10F&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A13.925&campaign=&country_code=MX&city=None&ip_address=189.162.106.177&language=espa%3Fol&device_name=&device_type=samsung%3A%3AGT-I9195L&app_version=4.16.2&media_source= ; -
127.0.0.1; 26/Oct/2015:00:00:01 +0300; tracker.internal; /api/postback; 200; 3; 0.000 [0.000];  app_id=com.example.mobile&click_time=&install_time=2015-10-25+20%3A59%3A25.095&campaign=&country_code=DE&city=None&ip_address=87.149.95.144&language=Deutsch&device_name=&device_type=samsung%3A%3ASM-G920F&app_version=4.16.2&media_source= ; -
